NAME,Metricname,SeenNum,SeenDenom,SeenAvg,LastUpdate
"Alexander MD, Steven",2018 Active Portal Patients,370,1467,25.22,
"Anderson MD, Greg",2018 Active Portal Patients,562,1420,39.58,
"Anderson MD, Rodney",2018 Active Portal Patients,639,1419,45.03,
"Bates MD, Jennifer",2018 Active Portal Patients,227,1120,20.27,
"Billau DO, Shannon",2018 Active Portal Patients,710,1703,41.69,
"Bjorseth MD, Franklin",2018 Active Portal Patients,184,1172,15.7,
"Bloom MD, Edward",2018 Active Portal Patients,740,1927,38.4,
"Bloom MD, Jessica",2018 Active Portal Patients,357,911,39.41,
"Bloom MD, Steven",2018 Active Portal Patients,660,1961,33.66,
"Bonner, MD, Ian",2018 Active Portal Patients,761,1674,45.46,
"Bradt DO, Rory",2018 Active Portal Patients,517,1738,29.75,
"Brodsky ARNP, Lisa",2018 Active Portal Patients,296,680,43.53,
"Burden MD, Margaret",2018 Active Portal Patients,388,1287,30.15,
"Bylund MD, Erik",2018 Active Portal Patients,240,1503,15.97,
"Caldwell MD, Robin",2018 Active Portal Patients,321,2280,27.24,
"Embree MD, Leah",2018 Active Portal Patients,60,224,26.79,
"Estep MD, Roger",2018 Active Portal Patients,167,1004,16.63,
"Floyd MD, Anneliese",2018 Active Portal Patients,384,1068,35.96,
"Fox DO, Laura",2018 Active Portal Patients,544,1161,46.86,
"Fredette MD, MSNu, Renay",2018 Active Portal Patients,220,997,22.07,
"Gambs MD, Catherine",2018 Active Portal Patients,326,1323,24.64,
"Gamson MD, Jonathan",2018 Active Portal Patients,282,1560,18.08,
"Gaylord ARNP, ND, Elizabeth",2018 Active Portal Patients,267,888,30.07,
"Goodman ARNP, Karen",2018 Active Portal Patients,255,735,34.69,
"Hall MD, Deborah",2018 Active Portal Patients,760,1589,47.83,
"Hansom MD, Janet",2018 Active Portal Patients,185,963,19.21,
"Hartwell MD, Larry",2018 Active Portal Patients,373,1409,26.47,
"Hein MD, Shelby",2018 Active Portal Patients,600,1668,35.97,
"Herdman MD, S. Harry",2018 Active Portal Patients,643,2021,31.81,
"Hiemstra DO, John",2018 Active Portal Patients,649,2456,26.43,
"Honey DO, Heather",2018 Active Portal Patients,566,1546,36.61,
"Honey MD, Robert",2018 Active Portal Patients,425,1698,25.03,
"Hruby MD, John",2018 Active Portal Patients,251,815,31,
"Jacobs MD, Kellie",2018 Active Portal Patients,605,1357,44.58,
"James MD, Michael",2018 Active Portal Patients,177,1204,14,
"Klassen ARNP, Jessica",2018 Active Portal Patients,373,1684,22.15,
"Lelonek MD, Meghan",2018 Active Portal Patients,733,1643,44.61,
"Lewis MD, Stephen",2018 Active Portal Patients,329,1952,16.85,
"McAllister MD, Sumner",2018 Active Portal Patients,862,1800,47.88,
"McLaughlin MD, Patrick",2018 Active Portal Patients,524,1392,37.64,
"McPherson ARNP, Sally",2018 Active Portal Patients,324,1603,20.21,
"Muller MD, Lucia",2018 Active Portal Patients,197,988,20,
"Nolan MD, Rebecca",2018 Active Portal Patients,70,263,25,
"O'Keefe MD, Karen",2018 Active Portal Patients,545,984,55.39,
"Payne-Zajac PA-C, Patricia",2018 Active Portal Patients,145,659,22.15,
"Ploudre MD, Jonathan",2018 Active Portal Patients,285,1469,19.4,
"Raduege MD, John",2018 Active Portal Patients,572,1612,35.48,
"Regier ARNP, Teresa",2018 Active Portal Patients,324,1733,18.7,
"Rey MD, Claudia",2018 Active Portal Patients,315,1553,20.28,
"Rieger MD, Robert",2018 Active Portal Patients,198,1258,15.74,
"Roessler MD, Deborah",2018 Active Portal Patients,809,2048,39.5,
"Safford MD, Bertha",2018 Active Portal Patients,287,843,34.05,
"Sauve ARNP, Lauren",2018 Active Portal Patients,383,1708,22.42,
"Schimke, MD, Melana",2018 Active Portal Patients,596,1096,54.38,
"Shapiro MD, Miriam",2018 Active Portal Patients,509,1080,47.13,
"Short MD, Jason",2018 Active Portal Patients,567,1903,29.8,
"Short MD, Vicki",2018 Active Portal Patients,589,1474,39.96,
"Snyder DO, Ashley",2018 Active Portal Patients,601,1725,34.84,
"Snyder MD, Walter Kalani",2018 Active Portal Patients,362,1611,22.47,
"Swanson MD, Mary",2018 Active Portal Patients,336,949,35.41,
"Sweeney MD, Margaret",2018 Active Portal Patients,213,1198,17.78,
"Thomson ARNP, Heather",2018 Active Portal Patients,253,659,38.39,
"VanHofwegen MD, Lisa",2018 Active Portal Patients,405,919,44.07,
"Wakefield-Pagels MD, April",2018 Active Portal Patients,588,1831,32.11,
"Walls MD, Ashlee",2018 Active Portal Patients,172,398,43.22,
