"NAME","Metricname","SeenNum","SeenDenom","SeenAvg","LastUpdate"
"Alexander MD, Steven","AAA Screening","41","54",".7593","2019-03-16 01:03:19.557000000"
"Alexander MD, Steven","Advance Directive - Patients >55yrs w/Advance Directive ","187","658",".2842","2019-03-16 01:03:37.107000000"
"Alexander MD, Steven","Blood Pressure NOT Controlled  >140/90 mm Hg    ","6","156",".0385","2019-03-16 01:01:05.570000000"
"Alexander MD, Steven","Chlamydia","","","","2019-03-16 01:02:58.910000000"
"Alexander MD, Steven","Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test)","397","530",".7491","2019-03-16 01:02:30.237000000"
"Alexander MD, Steven","Diabetes Care Gaps ","152","156",".9744","2019-03-16 01:14:51.590000000"
"Alexander MD, Steven","DM PTS 40 to 75 w/STATIN","72","84",".8571","2019-03-16 03:02:35.990000000"
"Alexander MD, Steven","DM PTS 55-75 w/ACE/ARB","51","72",".7083","2019-03-16 01:13:58.850000000"
"Alexander MD, Steven","Eye exam","74","156",".4744","2019-03-16 01:01:12.243000000"
"Alexander MD, Steven","Foot Exam","139","156",".8910","2019-03-16 03:00:30.040000000"
"Alexander MD, Steven","HbA1c test last 365 days     ","155","156",".9936","2019-03-16 02:46:38.130000000"
"Alexander MD, Steven","HgbA1c < 7.0                     ","76","156",".4872","2019-03-16 01:01:28.137000000"
"Alexander MD, Steven","HgbA1c NOT > 9.0 (poor control) ","141","156",".9038","2019-03-16 01:01:35.513000000"
"Alexander MD, Steven","Hypertension Patients 18-59 years BP <140/90","70","77",".9091","2019-03-16 01:01:59.560000000"
"Alexander MD, Steven","Hypertension Patients over 18 BP <140/90","384","404",".9505","2019-03-16 01:02:18.523000000"
"Alexander MD, Steven","Hypertension Patients over 59 years BP <150/90","315","327",".9633","2019-03-16 01:02:07.013000000"
"Alexander MD, Steven","Mammogram Ages 52 -74","133","177",".7514","2019-03-16 01:03:05.327000000"
"Alexander MD, Steven","Nephropathy Assessment ","104","156",".6667","2019-03-16 03:00:38.713000000"
"Alexander MD, Steven","Pap Smear Report","124","238",".5210","2019-03-16 01:15:00.323000000"
"Alexander MD, Steven","Pneumovax - DM","147","156",".9423","2019-03-16 03:00:47.557000000"
"Alexander MD, Steven","Pneumovax - Patients Age>65 w/current pneumovax","389","456",".8531","2019-03-16 01:03:57.793000000"
"Alexander MD, Steven","Pneumovax - Smokers w/current pneumovax","38","57",".6667","2019-03-16 01:04:08.120000000"
"Alexander MD, Steven","Smoking Cessation Advice or Treatment ","11","11","1.0000","2019-03-16 01:01:52.553000000"
"Alexander MD, Steven","Statin patients with LDL in the past 365 days","293","339",".8643","2019-03-16 01:15:33.190000000"
"Alexander MD, Steven","TD - Patients >18yrs with TD in last 10 years","931","1156",".8054","2019-03-16 01:04:18.433000000"
"Alexander MD, Steven","WCV 3-6 yr","27","58",".4655","2019-03-16 02:20:32.143000000"
"Anderson MD, Greg","AAA Screening","80","97",".8247","2019-03-16 01:03:19.557000000"
"Anderson MD, Greg","Advance Directive - Patients >55yrs w/Advance Directive ","214","619",".3457","2019-03-16 01:03:37.107000000"
