NAME,Metricname,SeenNum,SeenDenom,SeenAvg,LastUpdate
Bellingham Bay Medical Center,AAA Screening,107,333,0.2149,00:06.1
Birch Bay Family Medicine,AAA Screening,11,241,0.0401,00:06.1
Everson Family Medicine,AAA Screening,26,124,0.2114,00:06.1
Family Health Associates,AAA Screening,106,384,0.3047,00:06.1
Ferndale Family Medical Center,AAA Screening,21,317,0.1026,00:06.1
Island Family Physicians,AAA Screening,5,255,0.0281,00:06.1
Lynden Family Medicine,AAA Screening,12,351,0.2036,00:06.1
North Cascade Family Physicians,AAA Screening,91,487,0.2059,00:06.1
North Sound Family Medicine,AAA Screening,159,578,0.2598,00:06.1
Squalicum Family Medicine,AAA Screening,69,272,0.1876,00:06.1
Whatcom Family Medicine,AAA Screening,69,177,0.432,00:06.1
Bellingham Bay Medical Center,Advance Directive - Patients >55yrs w/Advance Directive ,381,3337,0.1117,00:06.1
Birch Bay Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,130,1992,0.0679,00:06.1
Everson Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,121,1057,0.0807,00:06.1
Family Health Associates,Advance Directive - Patients >55yrs w/Advance Directive ,435,4277,0.1026,00:06.1
Ferndale Family Medical Center,Advance Directive - Patients >55yrs w/Advance Directive ,346,2948,0.1176,00:06.1
Island Family Physicians,Advance Directive - Patients >55yrs w/Advance Directive ,468,2771,0.1769,00:06.1
Lynden Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,550,4016,0.1082,00:06.1
North Cascade Family Physicians,Advance Directive - Patients >55yrs w/Advance Directive ,224,4903,0.0484,00:06.1
North Sound Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,706,5063,0.1335,00:06.1
Squalicum Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,415,3252,0.1313,00:06.1
Whatcom Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,264,1513,0.1745,00:06.1
Bellingham Bay Medical Center,Blood Pressure NOT Controlled  >140/90 mm Hg    ,57,431,0.1326,00:06.1
Birch Bay Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,86,416,0.1894,00:06.1
